Type,Local ID,Message,Field 0,Value 0,Units 0,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11
Data,0,length,message_index,18,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745915949000,ms,total_elapsed_time,31.0,s,total_timer_time,31.0,s,total_strokes,11,strokes,avg_speed,0.806,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,19,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745915980000,ms,total_elapsed_time,29.0,s,total_timer_time,29.0,s,total_strokes,10,strokes,avg_speed,0.862,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,20,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916009000,ms,total_elapsed_time,27.0,s,total_timer_time,27.0,s,total_strokes,11,strokes,avg_speed,0.926,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,21,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916036000,ms,total_elapsed_time,35.0,s,total_timer_time,35.0,s,total_strokes,12,strokes,avg_speed,0.714,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,22,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916071000,ms,total_elapsed_time,30.0,s,total_timer_time,30.0,s,total_strokes,11,strokes,avg_speed,0.833,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,23,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916101000,ms,total_elapsed_time,26.0,s,total_timer_time,26.0,s,total_strokes,11,strokes,avg_speed,0.962,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,24,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916127000,ms,total_elapsed_time,34.0,s,total_timer_time,34.0,s,total_strokes,12,strokes,avg_speed,0.735,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,25,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916161000,ms,total_elapsed_time,28.0,s,total_timer_time,28.0,s,total_strokes,10,strokes,avg_speed,0.893,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,26,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916189000,ms,total_elapsed_time,27.0,s,total_timer_time,27.0,s,total_strokes,10,strokes,avg_speed,0.926,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,27,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916216000,ms,total_elapsed_time,29.0,s,total_timer_time,29.0,s,total_strokes,10,strokes,avg_speed,0.862,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,28,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916245000,ms,total_elapsed_time,30.0,s,total_timer_time,30.0,s,total_strokes,11,strokes,avg_speed,0.833,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
