WORKOUT_ID,SEGMENT_INDEX,DISTANCE,TYPE,PACE,POINT_INDEX,SWIM_TYPE,STROKES,AVG_SWOLF,TIME
101,0,25,0,396,0,2,14,113,99
101,2,25,0,196,0,2,11,60,49
101,4,25,0,116,0,2,10,39,29
101,6,25,0,104,0,2,11,37,26
101,8,25,0,140,0,2,12,47,35
101,10,25,0,112,0,2,11,39,28
101,23,25,0,124,0,2,11,42,31
101,25,25,0,132,0,2,12,45,33
101,27,25,0,128,0,2,12,44,32
101,29,25,0,124,0,2,11,42,31
101,31,25,0,132,0,2,12,45,33
101,44,25,0,144,0,2,13,49,36
101,46,25,0,136,0,2,11,45,34
101,48,25,0,120,0,2,10,40,30
101,50,25,0,108,0,2,10,37,27
101,52,25,0,120,0,2,10,40,30
101,54,25,0,128,0,2,10,42,32
101,67,25,0,104,0,2,10,36,26
101,69,25,0,168,0,2,11,53,42
101,71,25,0,108,0,2,10,37,27
101,73,25,0,120,0,2,11,41,30
101,75,25,0,120,0,2,11,41,30
101,88,25,0,140,0,2,11,46,35
101,90,25,0,108,0,2,11,38,27
101,92,25,0,136,0,2,11,45,34
101,94,25,0,108,0,2,11,38,27
101,96,25,0,144,0,2,13,49,36
101,98,25,0,112,0,2,11,39,28
101,12,25,0,132,0,2,11,44,33
101,14,25,0,124,0,2,10,41,31
101,16,25,0,104,0,2,10,36,26
101,18,25,0,136,0,2,10,44,34
101,20,25,0,112,0,2,11,39,28
101,33,25,0,128,0,2,11,43,32
101,35,25,0,124,0,2,11,42,31
101,37,25,0,120,0,2,11,41,30
101,39,25,0,144,0,2,11,47,36
101,41,25,0,112,0,2,11,39,28
101,43,25,0,128,0,2,10,42,32
101,56,25,0,112,0,2,10,38,28
101,58,25,0,124,0,2,11,42,31
101,60,25,0,108,0,2,11,38,27
101,62,25,0,136,0,2,11,45,34
101,64,25,0,116,0,2,10,39,29
101,77,25,0,116,0,2,11,40,29
101,79,25,0,104,0,2,10,36,26
101,81,25,0,136,0,2,11,45,34
101,83,25,0,108,0,2,11,38,27
101,85,25,0,120,0,2,11,41,30
101,87,25,0,116,0,2,11,40,29
101,100,25,0,140,0,2,12,47,35
101,102,25,0,104,0,2,11,37,26
101,104,25,0,132,0,2,12,45,33
101,106,25,0,120,0,2,11,41,30
101,108,25,0,128,0,2,12,44,32
101,121,25,0,120,0,2,11,41,30
101,123,25,0,128,0,2,11,43,32
101,125,25,0,108,0,2,11,38,27
101,127,25,0,124,0,2,11,42,31
101,129,25,0,124,0,2,11,42,31
101,131,25,0,120,0,2,11,41,30
101,144,25,0,120,0,2,11,41,30
101,146,25,0,144,0,2,12,48,36
101,148,25,0,108,0,2,11,38,27
101,150,25,0,124,0,2,12,43,31
101,152,25,0,132,0,2,13,46,33
101,165,25,0,128,0,2,11,43,32
101,167,25,0,104,0,2,11,37,26
101,169,25,0,132,0,2,12,45,33
101,171,25,0,120,0,2,11,41,30
101,173,25,0,140,0,2,12,47,35
101,175,25,0,112,0,2,11,39,28
101,188,25,0,136,0,2,11,45,34
101,190,25,0,124,0,2,12,43,31
101,192,25,0,116,0,2,12,41,29
101,194,25,0,128,0,2,12,44,32
101,196,25,0,128,0,2,12,44,32
101,209,25,0,120,0,2,12,42,30
101,211,25,0,132,0,2,12,45,33
101,213,25,0,128,0,2,12,44,32
101,215,25,0,128,0,2,12,44,32
101,217,25,0,132,0,2,13,46,33
101,219,25,0,144,0,2,12,48,36
101,232,25,0,128,0,2,12,44,32
101,234,25,0,128,0,2,12,44,32
101,236,25,0,104,0,2,12,38,26
101,238,25,0,144,0,2,13,49,36
101,240,25,0,116,0,2,12,41,29
101,253,25,0,132,0,2,12,45,33
101,255,25,0,128,0,2,12,44,32
101,257,25,0,128,0,2,13,45,32
101,259,25,0,128,0,2,13,45,32
101,261,25,0,144,0,2,13,49,36
101,263,25,0,120,0,2,13,43,30
101,276,25,0,132,0,2,13,46,33
101,278,25,0,128,0,2,12,44,32
101,280,25,0,124,0,2,12,43,31
101,282,25,0,132,0,2,13,46,33
101,284,25,0,128,0,2,12,44,32
101,297,25,0,132,0,2,12,45,33
101,299,25,0,152,0,2,14,52,38
101,301,25,0,112,0,2,12,40,28
101,303,25,0,132,0,2,12,45,33
101,305,25,0,128,0,2,12,44,32
101,307,25,0,132,0,2,11,44,33
101,320,25,0,132,0,2,12,45,33
101,322,25,0,128,0,2,12,44,32
101,324,25,0,132,0,2,12,45,33
101,326,25,0,124,0,2,12,43,31
101,328,25,0,124,0,2,11,42,31
101,341,25,0,132,0,2,12,45,33
101,343,25,0,140,0,2,13,48,35
101,345,25,0,120,0,2,12,42,30
101,347,25,0,120,0,2,12,42,30
101,349,25,0,128,0,2,13,45,32
101,351,25,0,124,0,2,13,44,31
101,364,25,0,124,0,2,13,44,31
101,366,25,0,100,0,2,12,37,25
101,368,25,0,172,0,2,16,59,43
101,370,25,0,108,0,2,14,41,27
