WORKOUT_ID,SEGMENT_INDEX,DISTANCE,TYPE,PACE,POINT_INDEX,SWIM_TYPE,STROKES,AVG_SWOLF,TIME
10,0,25,0,140,0,2,11,46,35
10,2,25,0,96,0,2,10,34,24
10,4,25,0,132,0,2,11,44,33
10,6,25,0,116,0,2,10,39,29
10,8,25,0,120,0,2,10,40,30
10,10,25,0,120,0,2,10,40,30
10,23,25,0,120,0,2,10,40,30
10,25,25,0,108,0,2,11,38,27
10,27,25,0,144,0,2,12,48,36
10,29,25,0,108,0,2,11,38,27
10,31,25,0,140,0,2,12,47,35
10,44,25,0,136,0,2,11,45,34
10,46,25,0,116,0,2,10,39,29
10,48,25,0,116,0,2,10,39,29
10,50,25,0,120,0,2,10,40,30
10,52,25,0,112,0,2,10,38,28
10,54,25,0,116,0,2,10,39,29
10,67,25,0,116,0,2,11,40,29
10,69,25,0,124,0,2,11,42,31
10,71,25,0,116,0,2,10,39,29
10,73,25,0,108,0,2,11,38,27
10,75,25,0,140,0,2,12,47,35
10,11,25,0,120,0,2,11,41,30
10,13,25,0,104,0,2,11,37,26
10,15,25,0,136,0,2,12,46,34
10,17,25,0,112,0,2,10,38,28
10,19,25,0,108,0,2,10,37,27
10,21,25,0,116,0,2,10,39,29
10,34,25,0,120,0,2,11,41,30
10,36,25,0,112,0,2,10,38,28
10,38,25,0,120,0,2,11,41,30
10,40,25,0,116,0,2,11,40,29
10,42,25,0,116,0,2,10,39,29
10,55,25,0,116,0,2,11,40,29
10,57,25,0,104,0,2,11,37,26
10,59,25,0,136,0,2,12,46,34
10,61,25,0,124,0,2,11,42,31
10,63,25,0,116,0,2,11,40,29
10,65,25,0,104,0,2,11,37,26
10,78,25,0,140,0,2,11,46,35
10,80,25,0,108,0,2,11,38,27
10,82,25,0,132,0,2,11,44,33
10,84,25,0,104,0,2,11,37,26
10,86,25,0,132,0,2,10,43,33
10,99,25,0,116,0,2,11,40,29
10,101,25,0,116,0,2,10,39,29
10,103,25,0,108,0,2,12,39,27
10,105,25,0,128,0,2,10,42,32
10,107,25,0,120,0,2,11,41,30
10,109,25,0,104,0,2,11,37,26
10,122,25,0,104,0,2,11,37,26
10,124,25,0,140,0,2,12,47,35
10,126,25,0,112,0,2,10,38,28
10,128,25,0,104,0,2,11,37,26
10,130,25,0,132,0,2,13,46,33
10,143,25,0,120,0,2,11,41,30
10,145,25,0,96,0,2,11,35,24
10,147,25,0,116,0,2,12,41,29
10,149,25,0,116,0,2,11,40,29
10,151,25,0,136,0,2,11,45,34
10,153,25,0,124,0,2,11,42,31
10,166,25,0,88,0,2,10,32,22
10,168,25,0,120,0,2,12,42,30
10,170,25,0,120,0,2,11,41,30
10,172,25,0,140,0,2,12,47,35
10,174,25,0,120,0,2,11,41,30
10,187,25,0,96,0,2,11,35,24
10,189,25,0,120,0,2,11,41,30
10,191,25,0,116,0,2,11,40,29
10,193,25,0,120,0,2,12,42,30
10,195,25,0,132,0,2,12,45,33
10,197,25,0,120,0,2,11,41,30
10,210,25,0,96,0,2,12,36,24
10,212,25,0,136,0,2,13,47,34
10,214,25,0,120,0,2,12,42,30
10,216,25,0,104,0,2,12,38,26
10,218,25,0,128,0,2,13,45,32
10,231,25,0,140,0,2,13,48,35
10,233,25,0,116,0,2,11,40,29
10,235,25,0,100,0,2,11,36,25
10,237,25,0,120,0,2,11,41,30
10,239,25,0,144,0,2,14,50,36
10,241,25,0,112,0,2,11,39,28
10,254,25,0,112,0,2,11,39,28
10,256,25,0,100,0,2,11,36,25
10,258,25,0,136,0,2,13,47,34
10,260,25,0,116,0,2,11,40,29
10,262,25,0,108,0,2,11,38,27
10,275,25,0,108,0,2,11,38,27
10,277,25,0,124,0,2,13,44,31
10,279,25,0,124,0,2,13,44,31
10,281,25,0,120,0,2,12,42,30
10,283,25,0,140,0,2,14,49,35
10,285,25,0,124,0,2,12,43,31
10,298,25,0,108,0,2,12,39,27
10,300,25,0,148,0,2,12,49,37
10,302,25,0,120,0,2,12,42,30
10,304,25,0,120,0,2,12,42,30
10,306,25,0,104,0,2,12,38,26
10,319,25,0,120,0,2,12,42,30
10,321,25,0,112,0,2,12,40,28
10,323,25,0,116,0,2,12,41,29
10,325,25,0,136,0,2,12,46,34
10,327,25,0,120,0,2,12,42,30
10,329,25,0,120,0,2,12,42,30
10,342,25,0,124,0,2,12,43,31
10,344,25,0,120,0,2,12,42,30
10,346,25,0,108,0,2,12,39,27
10,348,25,0,132,0,2,13,46,33
10,350,25,0,104,0,2,12,38,26
10,363,25,0,120,0,2,13,43,30
10,365,25,0,116,0,2,12,41,29
10,367,25,0,136,0,2,14,48,34
10,369,25,0,124,0,2,12,43,31
10,371,25,0,104,0,2,12,38,26
10,373,25,0,120,0,2,12,42,30
10,386,25,0,104,0,2,12,38,26
10,388,25,0,136,0,2,15,49,34
10,390,25,0,92,0,2,12,35,23
10,392,25,0,100,0,2,13,38,25
