WORKOUT_ID,TIMESTAMP,HEART_RATE,SPEED,STEP_RATE,CADENCE,STEP_LENGTH,GROUND_CONTACT_TIME,IMPACT,SWING_ANGLE,FORE_FOOT_LANDING,MID_FOOT_LANDING,BACK_FOOT_LANDING,EVERSION_ANGLE,SWOLF,STROKE_RATE,DATA_ERROR_HEX,CALORIES,CYCLING_POWER,FREQUENCY,ALTITUDE,HANG_TIME,IMPACT_HANG_RATE,RIDE_CADENCE,AP,VO,GTB,VR,CEILING,TEMP,SPO2,CNS
31,1746530405,77,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,22,,-1,-1,-1,,-1,-1,-1,0.0,0.0,0.0,0.0,-1,-1,-1,-1
31,1746530410,84,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,22,,-1,-1,-1,,-1,-1,-1,0.0,0.0,0.0,0.0,-1,-1,-1,-1
31,1746530415,90,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,22,,-1,-1,-1,,-1,-1,-1,0.0,0.0,0.0,0.0,-1,-1,-1,-1
31,1746530420,106,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,22,,-1,-1,-1,,-1,-1,-1,0.0,0.0,0.0,0.0,-1,-1,-1,-1
31,1746530425,115,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,22,,-1,-1,-1,,-1,-1,-1,0.0,0.0,0.0,0.0,-1,-1,-1,-1
31,1746530430,125,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,22,,-1,-1,-1,,-1,-1,-1,0.0,0.0,0.0,0.0,-1,-1,-1,-1
31,1746530435,127,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,21,,-1,-1,-1,,-1,-1,-1,0.0,0.0,0.0,0.0,-1,-1,-1,-1
31,1746530440,-127,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,21,,-1,-1,-1,,-1,-1,-1,0.0,0.0,0.0,0.0,-1,-1,-1,-1
31,1746530445,-125,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,21,,-1,-1,-1,,-1,-1,-1,0.0,0.0,0.0,0.0,-1,-1,-1,-1
31,1746530450,-124,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,21,,-1,-1,-1,,-1,-1,-1,0.0,0.0,0.0,0.0,-1,-1,-1,-1
31,1746530455,-123,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,21,,-1,-1,-1,,-1,-1,-1,0.0,0.0,0.0,0.0,-1,-1,-1,-1
31,1746530460,-124,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,21,,-1,-1,-1,,-1,-1,-1,0.0,0.0,0.0,0.0,-1,-1,-1,-1
31,1746530465,-124,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,21,,-1,-1,-1,,-1,-1,-1,0.0,0.0,0.0,0.0,-1,-1,-1,-1
31,1746530470,-122,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,21,,-1,-1,-1,,-1,-1,-1,0.0,0.0,0.0,0.0,-1,-1,-1,-1
