WORKOUT_ID,SEGMENT_INDEX,DISTANCE,TYPE,PACE,POINT_INDEX,SWIM_TYPE,STROKES,AVG_SWOLF,TIME
31,0,25,0,132,0,2,12,45,33
31,2,25,0,112,0,2,10,38,28
31,4,25,0,104,0,2,9,35,26
31,6,25,0,112,0,2,10,38,28
31,8,25,0,112,0,2,11,39,28
31,10,25,0,120,0,2,12,42,30
31,23,25,0,116,0,2,11,40,29
31,25,25,0,132,0,2,11,44,33
31,27,25,0,120,0,2,11,41,30
31,29,25,0,112,0,2,11,39,28
31,31,25,0,120,0,2,11,41,30
31,44,25,0,120,0,2,11,41,30
31,46,25,0,116,0,2,10,39,29
31,48,25,0,120,0,2,10,40,30
31,50,25,0,116,0,2,10,39,29
31,52,25,0,148,0,2,12,49,37
31,54,25,0,104,0,2,9,35,26
31,67,25,0,108,0,2,10,37,27
31,69,25,0,116,0,2,10,39,29
31,71,25,0,108,0,2,10,37,27
31,73,25,0,116,0,2,10,39,29
31,75,25,0,116,0,2,10,39,29
31,11,25,0,112,0,2,10,38,28
31,13,25,0,112,0,2,10,38,28
31,15,25,0,120,0,2,10,40,30
31,17,25,0,108,0,2,10,37,27
31,19,25,0,120,0,2,10,40,30
31,21,25,0,112,0,2,10,38,28
31,34,25,0,124,0,2,11,42,31
31,36,25,0,112,0,2,10,38,28
31,38,25,0,112,0,2,10,38,28
31,40,25,0,112,0,2,10,38,28
31,42,25,0,112,0,2,10,38,28
31,55,25,0,100,0,2,10,35,25
31,57,25,0,132,0,2,11,44,33
31,59,25,0,116,0,2,10,39,29
31,61,25,0,120,0,2,10,40,30
31,63,25,0,116,0,2,10,39,29
31,65,25,0,96,0,2,10,34,24
31,78,25,0,136,0,2,10,44,34
31,80,25,0,96,0,2,10,34,24
31,82,25,0,132,0,2,10,43,33
31,84,25,0,100,0,2,10,35,25
31,86,25,0,132,0,2,11,44,33
31,99,25,0,116,0,2,10,39,29
31,101,25,0,116,0,2,11,40,29
31,103,25,0,120,0,2,11,41,30
31,105,25,0,120,0,2,11,41,30
31,107,25,0,120,0,2,11,41,30
31,109,25,0,104,0,2,11,37,26
31,122,25,0,132,0,2,12,45,33
31,124,25,0,116,0,2,11,40,29
31,126,25,0,120,0,2,11,41,30
31,128,25,0,96,0,2,11,35,24
31,130,25,0,112,0,2,12,40,28
31,143,25,0,116,0,2,12,41,29
31,145,25,0,136,0,2,12,46,34
31,147,25,0,96,0,2,11,35,24
31,149,25,0,120,0,2,12,42,30
31,151,25,0,144,0,2,12,48,36
31,153,25,0,100,0,2,11,36,25
31,166,25,0,128,0,2,11,43,32
31,168,25,0,120,0,2,11,41,30
31,170,25,0,124,0,2,12,43,31
31,172,25,0,100,0,2,11,36,25
31,174,25,0,132,0,2,12,45,33
31,187,25,0,96,0,2,12,36,24
31,189,25,0,120,0,2,12,42,30
31,191,25,0,128,0,2,11,43,32
31,193,25,0,120,0,2,12,42,30
31,195,25,0,100,0,2,12,37,25
31,197,25,0,128,0,2,13,45,32
31,210,25,0,116,0,2,12,41,29
31,212,25,0,140,0,2,12,47,35
31,214,25,0,108,0,2,12,39,27
31,216,25,0,140,0,2,13,48,35
31,218,25,0,104,0,2,12,38,26
31,231,25,0,124,0,2,13,44,31
31,233,25,0,132,0,2,11,44,33
31,235,25,0,104,0,2,12,38,26
31,237,25,0,124,0,2,13,44,31
31,239,25,0,120,0,2,12,42,30
31,241,25,0,124,0,2,12,43,31
31,254,25,0,120,0,2,12,42,30
31,256,25,0,120,0,2,12,42,30
31,258,25,0,136,0,2,12,46,34
31,260,25,0,120,0,2,11,41,30
31,262,25,0,120,0,2,12,42,30
31,275,25,0,108,0,2,12,39,27
31,277,25,0,124,0,2,12,43,31
31,279,25,0,120,0,2,13,43,30
31,281,25,0,144,0,2,13,49,36
31,283,25,0,116,0,2,11,40,29
31,285,25,0,124,0,2,12,43,31
31,298,25,0,104,0,2,12,38,26
31,300,25,0,120,0,2,13,43,30
31,302,25,0,124,0,2,13,44,31
31,304,25,0,120,0,2,12,42,30
31,306,25,0,132,0,2,12,45,33
31,319,25,0,116,0,2,11,40,29
31,321,25,0,124,0,2,12,43,31
31,323,25,0,124,0,2,12,43,31
31,325,25,0,112,0,2,11,39,28
31,327,25,0,120,0,2,12,42,30
31,329,25,0,100,0,2,11,36,25
31,342,25,0,108,0,2,11,38,27
31,344,25,0,108,0,2,12,39,27
31,346,25,0,112,0,2,11,39,28
31,348,25,0,132,0,2,13,46,33
31,350,25,0,100,0,2,11,36,25
31,363,25,0,108,0,2,12,39,27
31,365,25,0,116,0,2,12,41,29
31,367,25,0,112,0,2,13,41,28
31,369,25,0,116,0,2,13,42,29
31,371,25,0,120,0,2,13,43,30
31,373,25,0,116,0,2,13,42,29
31,386,25,0,132,0,2,12,45,33
31,388,25,0,104,0,2,13,39,26
31,390,25,0,112,0,2,13,41,28
31,392,25,0,92,0,2,12,35,23
