WORKOUT_ID,SEGMENT_INDEX,DISTANCE,TYPE,PACE,POINT_INDEX,SWIM_TYPE,STROKES,AVG_SWOLF,TIME
55,0,25,0,120,0,2,12,42,30
55,2,25,0,100,0,2,10,35,25
55,4,25,0,100,0,2,10,35,25
55,6,25,0,400,0,2,10,110,100
55,8,25,0,104,0,2,11,37,26
55,10,25,0,108,0,2,10,37,27
55,23,25,0,84,0,2,10,31,21
55,25,25,0,436,0,2,10,119,109
55,27,25,0,100,0,2,11,36,25
55,29,25,0,104,0,2,10,36,26
55,31,25,0,108,0,2,11,38,27
55,44,25,0,400,0,2,10,110,100
55,46,25,0,108,0,2,12,39,27
55,48,25,0,96,0,2,10,34,24
55,50,25,0,108,0,2,11,38,27
55,52,25,0,404,0,2,11,112,101
55,54,25,0,108,0,2,12,39,27
55,67,25,0,108,0,2,11,38,27
55,69,25,0,96,0,2,11,35,24
55,71,25,0,452,0,2,11,124,113
55,73,25,0,108,0,2,11,38,27
55,75,25,0,88,0,2,11,33,22
55,11,25,0,132,0,2,11,44,33
55,13,25,0,348,0,2,11,98,87
55,15,25,0,112,0,2,13,41,28
55,17,25,0,108,0,2,11,38,27
55,19,25,0,100,0,2,11,36,25
55,21,25,0,388,0,2,12,109,97
55,34,25,0,100,0,2,11,36,25
55,36,25,0,120,0,2,11,41,30
55,38,25,0,104,0,2,11,37,26
55,40,25,0,424,0,2,12,118,106
55,42,25,0,116,0,2,12,41,29
55,55,25,0,92,0,2,12,35,23
55,57,25,0,100,0,2,11,36,25
55,59,25,0,400,0,2,12,112,100
55,61,25,0,92,0,2,12,35,23
55,63,25,0,104,0,2,11,37,26
55,65,25,0,120,0,2,11,41,30
55,78,25,0,400,0,2,11,111,100
55,80,25,0,112,0,2,12,40,28
55,82,25,0,92,0,2,11,34,23
55,84,25,0,120,0,2,11,41,30
55,86,25,0,400,0,2,11,111,100
55,99,25,0,112,0,2,13,41,28
55,101,25,0,112,0,2,11,39,28
55,103,25,0,104,0,2,12,38,26
55,105,25,0,384,0,2,12,108,96
55,107,25,0,124,0,2,14,45,31
55,109,25,0,104,0,2,12,38,26
55,122,25,0,120,0,2,13,43,30
55,124,25,0,376,0,2,12,106,94
55,126,25,0,104,0,2,13,39,26
55,128,25,0,116,0,2,12,41,29
55,130,25,0,136,0,2,13,47,34
55,143,25,0,372,0,2,10,103,93
55,145,25,0,120,0,2,13,43,30
55,147,25,0,104,0,2,11,37,26
55,149,25,0,116,0,2,12,41,29
55,151,25,0,348,0,2,12,99,87
55,153,25,0,116,0,2,13,42,29
55,166,25,0,108,0,2,13,40,27
55,168,25,0,120,0,2,13,43,30
55,170,25,0,404,0,2,11,112,101
55,172,25,0,108,0,2,13,40,27
55,174,25,0,120,0,2,11,41,30
55,187,25,0,112,0,2,12,40,28
55,189,25,0,380,0,2,12,107,95
55,191,25,0,104,0,2,12,38,26
55,193,25,0,124,0,2,12,43,31
55,195,25,0,104,0,2,13,39,26
55,197,25,0,388,0,2,12,109,97
55,210,25,0,120,0,2,14,44,30
55,212,25,0,104,0,2,12,38,26
55,214,25,0,116,0,2,13,42,29
55,216,25,0,112,0,2,13,41,28
55,218,25,0,416,0,2,13,117,104
55,231,25,0,124,0,2,14,45,31
55,233,25,0,116,0,2,13,42,29
55,235,25,0,88,0,2,12,34,22
