WORKOUT_ID,SEGMENT_INDEX,DISTANCE,TYPE,PACE,POINT_INDEX,SWIM_TYPE,STROKES,AVG_SWOLF,TIME
84,0,25,0,388,0,2,14,111,97
84,2,25,0,92,0,2,11,34,23
84,4,25,0,352,0,2,12,100,88
84,6,25,0,128,0,2,12,44,32
84,8,25,0,116,0,2,11,40,29
84,10,25,0,92,0,2,11,34,23
84,23,25,0,380,0,2,16,111,95
84,25,25,0,100,0,2,12,37,25
84,27,25,0,140,0,2,13,48,35
84,29,25,0,120,0,2,13,43,30
84,31,25,0,376,0,2,15,109,94
84,44,25,0,120,0,2,11,41,30
84,46,25,0,124,0,2,11,42,31
84,48,25,0,104,0,2,11,37,26
84,50,25,0,436,0,2,14,123,109
84,52,25,0,140,0,2,12,47,35
84,54,25,0,124,0,2,12,43,31
84,67,25,0,108,0,2,12,39,27
84,69,25,0,284,0,2,12,83,71
84,71,25,0,104,0,2,12,38,26
84,73,25,0,128,0,2,13,45,32
84,75,25,0,120,0,2,13,43,30
84,88,25,0,372,0,2,13,106,93
84,90,25,0,116,0,2,12,41,29
84,92,25,0,112,0,2,13,41,28
84,94,25,0,116,0,2,12,41,29
84,96,25,0,376,0,2,16,110,94
84,98,25,0,120,0,2,13,43,30
84,12,25,0,140,0,2,13,48,35
84,14,25,0,112,0,2,12,40,28
84,16,25,0,356,0,2,15,104,89
84,18,25,0,116,0,2,12,41,29
84,20,25,0,120,0,2,12,42,30
84,33,25,0,360,0,2,14,104,90
84,35,25,0,120,0,2,13,43,30
84,37,25,0,124,0,2,12,43,31
84,39,25,0,140,0,2,13,48,35
84,41,25,0,132,0,2,13,46,33
84,43,25,0,300,0,2,15,90,75
84,56,25,0,116,0,2,12,41,29
84,58,25,0,136,0,2,13,47,34
84,60,25,0,372,0,2,12,105,93
84,62,25,0,128,0,2,12,44,32
84,64,25,0,124,0,2,13,44,31
84,77,25,0,144,0,2,14,50,36
84,79,25,0,140,0,2,14,49,35
84,81,25,0,156,0,2,14,53,39
84,83,25,0,132,0,2,13,46,33
84,85,25,0,140,0,2,13,48,35
84,87,25,0,192,0,2,15,63,48
84,100,25,0,292,0,2,14,87,73
84,102,25,0,172,0,2,13,56,43
84,104,25,0,124,0,2,12,43,31
84,106,25,0,108,0,2,12,39,27
84,108,25,0,316,0,2,14,93,79
84,121,25,0,112,0,2,12,40,28
84,123,25,0,216,0,2,15,69,54
84,125,25,0,100,0,2,11,36,25
84,127,25,0,388,0,2,14,111,97
84,129,25,0,140,0,2,14,49,35
84,131,25,0,116,0,2,13,42,29
84,144,25,0,116,0,2,12,41,29
84,146,25,0,244,0,2,16,77,61
84,148,25,0,224,0,2,15,71,56
84,150,25,0,112,0,2,12,40,28
84,152,25,0,152,0,2,13,51,38
84,165,25,0,184,0,2,16,62,46
84,167,25,0,160,0,2,16,56,40
